,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
1550,Daigo Higa,1995-08-09,"Urasoe, Okinawa, Japan",Flyweight/Super flyweight/Bantamweight,5 ft 3+1⁄2 in (161 cm),64 in (163 cm),Orthodox,24,21,18,2,1,
1551,Cristofer Rosales,1994-10-06,"Managua, Nicaragua",Light flyweight/Flyweight,5 ft 6+1⁄2 in (169 cm),71+1⁄2 in (182 cm),Orthodox,42,36,22,6,,
1552,Charlie Edwards,,,,,,,,,,,,
1553,Julio Cesar Martinez,1995-01-27,"Mexico City, Mexico",Flyweight/Super flyweight,5 ft 2 in (157 cm),63 in (160 cm),Orthodox,24,20,15,2,,2
1554,Franco Udella,1947-02-25,"Cagliari, Italy",Flyweight/Light flyweight,5 ft 0 in (152 cm),,,43,37,18,5,0,1
1555,Luis Estaba,1938-08-13,"Güiria, Venezuela",Light flyweight,5 ft 3+1⁄2 in (161 cm),,Orthodox,52,41,27,9,2,0
1556,Netrnoi Sor Vorasingh,1959-04-22,"Bua Yai District, Thailand",Light flyweight/Flyweight,149.8 cm (4 ft 11 in),,Southpaw,38,29,15,7,2,0
1557,Kim Sung-Jun,1953-06-03,"Busan, South Korea",Light Flyweight,5 ft 2+1⁄2 in (159 cm),,,48,28,13,14,6,0
1558,Shigeo Nakajima,1954-01-16,"Yūki, Ibaraki, Japan",Light flyweight,5 ft 3 in (160 cm),61+1⁄2 in (156 cm),Orthodox,19,13,7,5,1,
1559,Hilario Zapata,1958-08-19,"Panama City, Panama",Light flyweight/Flyweight/Super flyweight,5 ft 6 in (168 cm),68 in (173 cm),Southpaw,54,43,14,10,1,
1560,Amado Ursua,1956-09-13,"Mexico City, Mexico",Bantamweight/Flyweight/Minimumweight,1.65 m (5 ft 5 in),180 cm (71 in),Orthodox,55,34,25,21,,
1561,Tadashi Tomori,1959-12-28,"Naha, Okinawa, USCAR(nowadays Japan)",Light flyweight,5 ft 3 in (160 cm),,Orthodox,26,19,5,7,,
1562,Chang Jung-Koo,1963-02-04,"Busan, South Korea",Light-flyweight,5 ft 3+1⁄2 in (161 cm),,Orthodox,42,38,17,4,,
1563,Germán Torres,1957-05-28,"Celaya, Mexico",Light Flyweight,5 ft 5 in (165 cm),,Orthodox,80,63,47,13,4,0
1564,Lee Yul-Woo,1967-01-25,"Okcheon County, South Korea",Light-flyweight/Flyweight,5 ft 5 in (165 cm),,Orthodox,22,19,10,3,,
1565,Rolando Pascua,1965-11-19,"Cebu City, Philippines",Light-flyweight/Flyweight/Super-flyweight/Bantamweight/Super-bantamweight,5 ft 5 in (165 cm),,Southpaw,70,45,17,25,,
1566,Choi Yo-Sam,,,Light flyweight,,,,37,32,19,5,,
1567,Eric Ortiz,,,,,,,,,,,,
1568,Omar Niño Romero,1976-05-12,"Guadalajara, Jalisco, Mexico",Flyweight/Light Flyweight,,,Orthodox,39,31,12,5,2,1
1569,Édgar Sosa,,,,,,,,,,,,
1570,Rodel Mayol,1981-08-09,"Mandaue City, Cebu, Philippines",Light Flyweight,5 ft 4 in (1.63 m),,,39,31,22,6,2,
1571,Gilberto Keb Baas,1977-10-21,"Hunucmá, Yucatán, Mexico",Light Flyweight,,,Orthodox,58,34,21,20,4,0
1572,Adrián Hernández,,,,,,,,,,,,
1573,Kompayak Porpramook,1982-06-18,,,154 cm (5 ft 1⁄2 in),,,,61,,14,1,
1574,Pedro Guevara,1879-02-23,,,,,,,,,,,
1575,Yu Kimura,,,,,,,,,,,,
1576,Ganigan López,1981-11-12,"Amecameca, Mexico",Mini flyweight/Light flyweight/Flyweight,5 ft 4+1⁄2 in (164 cm),65 in (165 cm),Southpaw,51,38,19,13,,
1577,Masamichi Yabuki,,,,,,,,,,,,
1578,Hiroki Ioka,1969-01-08,"Sakai, Osaka, Japan",Mini-flyweight/Light-flyweight/Flyweight/Super-flyweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,42,33,17,8,1,
1579,Napa Kiatwanchai,1967-07-27,"Chok Chai District, Nakhon Ratchasima Province, Thailand",Strawweight/Light flyweight,,,,25,16,8,8,1,
1580,Choi Jum-Hwan,1967-06-09,South Korea,Mini-flyweight/Light-flyweight,,,Orthodox,23,20,8,3,,
1581,Hideyuki Ohashi,,,,,,,,,,,,
1582,Wandee Singwangcha,1980-02-05,"Udon Thani, Thailand",minimumweight/light flyweight/flyweight/super flyweight,5 ft 2 in (157 cm),,Orthodox,85,67,18,17,1,0
1583,José Antonio Aguirre,,,,,,,,,,,,
1584,Eagle Den Junlaphan,1978-12-04,"Bang Mun Nak District, Phichit Province, Thailand",Mini-flyweight,1.61 m (5 ft 3 in),157 cm (62 in),Orthodox,20,18,6,2,,
1585,Isaac Bustos,1975-02-16,"Mexico City, Distrito Federal, Mexico",Mini flyweight,5 ft 4 in (163 cm),72 in (183 cm),Orthodox,38,25,13,10,3,
1586,Oleydong Sithsamerchai,1985-07-17,"Huai Yot, Thailand",Minimumweight/Super flyweight,5′ 3½ in (161 cm),,Southpaw,72,69,29,2,1,
1587,Xiong Chaozhong,1982-10-03,"Wénshān, China",Mini-flyweight/Light-flyweight/Flyweight,5 ft 0 in (152 cm),60+1⁄2 in (154 cm),Orthodox,36,27,14,8,1,
1588,Oswaldo Novoa,1982-02-02,"Guadalajara, Mexico",Mini flyweight/Light flyweight/Flyweight,5 ft 3 in (160 cm),63 in (160 cm),Orthodox,28,14,9,10,4,
1589,Wanheng Menayothin,1985-10-27,"Amphoe Borabue,Maha Sarakham Province, Thailand",Mini-flyweight,5 ft 2 in (157 cm)[1][2],64+1⁄2 in (164 cm)[1],Orthodox,59,55,19,3,,1
1590,Panya Pradabsri,1991-02-21,"Amphoe Nam Yuen, Ubon Ratchathani province, Thailand",Mini-flyweight,162 cm (5 ft 4 in),,,43,41,25,2,,
1591,Yudai Shigeoka,1997-04-16,"Kumamoto, Japan",Mini-flyweight/Light-flyweight,5 ft 3 in (160 cm),,Southpaw,8,8,5,,,
1592,Gene Tunney,1897-05-25,"New York City, U.S.",Light-heavyweight/Heavyweight,6 ft 0 in (183 cm),76 in (193 cm),Orthodox,88,82,49,1,4,1
1593,Max Schmeling,1905-09-28,"Klein Luckow, Province of Brandenburg, Prussia, German Empire",Light-heavyweight/Heavyweight,1.85 m (6 ft 1 in),1.93 m (76 in),Orthodox,70,56,40,10,4,
1594,Ernie Terrell,1939-04-04,"Belzoni, Mississippi, U.S.",Heavyweight,6 ft 6 in (198 cm),82 in (208 cm),Orthodox,55,46,21,9,,
1595,Jimmy Ellis,,,,,,,,,,,,
1596,John Tate,,,,,,,,,,,,
1597,Mike Weaver,,,,,,,,,,,,
1598,Michael Dokes,1958-08-10,"Akron, Ohio, U.S.",Heavyweight,6 ft 3 in (191 cm),78 in (198 cm),Orthodox,61,53,33,6,2,
1599,Gerrie Coetzee,1955-04-08,"Boksburg, East Rand,Gauteng, South Africa",Heavyweight,1.92 m (6 ft 4 in),206 cm (81 in),Orthodox,40,33,21,6,1,
1600,Greg Page,,,,,,,,,,,,
1601,Tony Tubbs,1958-02-15,"Cincinnati, Ohio, U.S.",Heavyweight,6 ft 3 in (191 cm),79 in (201 cm),Orthodox,59,47,25,10,,2
1602,James Smith,,,,,,,,,,,,
1603,Bruce Seldon,1967-01-30,"Atlantic City, New Jersey, U.S.",Heavyweight,6 ft 1+1⁄2 in (187 cm),78 in (198 cm),Orthodox,48,40,36,8,,
1604,John Ruiz,1972-01-04,"Chelsea, Massachusetts, U.S.",Heavyweight,6 ft 2 in (188 cm)[1],80 in (203 cm)[1],Orthodox,55,44,30,9,1,1
1605,Nikolai Valuev,1973-08-21,"Leningrad, Russian SFSR, Soviet Union",Heavyweight,2.13 m (7 ft 0 in)[1][2][3][nb 1],216 cm (85 in),Orthodox,53,50,34,2,,1
1606,Ruslan Chagaev,1978-10-19,"Andijan, Uzbek SSR, Soviet Union (now Uzbekistan)",Heavyweight,1.85 m (6 ft 1 in)[1],188 cm (74 in)[1],Southpaw,38,34,21,2,1,1
1607,Alexander Povetkin,1979-09-02,"Kursk, Russian SFSR, Soviet Union",Heavyweight,1.88 m (6 ft 2 in)[1],190 cm (75 in)[1],Orthodox,40,36,25,3,1,
1608,Mahmoud Charr,,,Heavyweight,1.92 m (6 ft 3+1⁄2 in)[1],195 cm (77 in),Orthodox,38,34,20,4,,
1609,Trevor Bryan,1989-08-23,"Albany, New York, U.S.",Heavyweight,6 ft 4 in (193 cm),79 in (201 cm),Orthodox,24,22,15,2,,
1610,Daniel Dubois,,,,,,,,,,,,
1611,Ossie Ocasio,1955-08-12,"Santurce, San Juan, Puerto Rico[1]",Cruiserweight/Heavyweight,5 ft 11+1⁄2 in (182 cm),74 in (188 cm),Orthodox,37,23,12,13,1,0
1612,Piet Crous,1955-07-02,"Johannesburg, South Africa",Cruiserweight,,,Orthodox,30,26,21,2,1,1
1613,Taoufik Belbouli,1954-12-10,"Bennane, Tunisia",Cruiserweight/Heavyweight,6 ft 1 in (185 cm),,Orthodox,31,29,23,1,1,
1614,Orlin Norris,1965-10-04,"Lubbock, Texas, U.S.",Cruiserweight/Heavyweight,5 ft 9+1⁄2 in (177 cm),70 in (178 cm),Orthodox,70,57,30,10,1,2
1615,Nate Miller,,,,,,,,,,,,
1616,Firat Arslan,1970-09-28,"Friedberg, Germany",Cruiserweight,5 ft 11+1⁄2 in (182 cm),77 in (196 cm),Southpaw,67,55,40,9,3,
1617,Guillermo Jones,1972-05-05,"Colón, Panama",Welterweight/Light middleweight/Cruiserweight/Heavyweight,6 ft 4 in (193 cm),76 in (193 cm),Orthodox,47,41,31,3,2,1
1618,Víctor Ramírez,,,,,,,,,,,,
1619,Beibut Shumenov,1983-08-19,"Shymkent, Kazakh SSR,Soviet Union",Light-heavyweight/Cruiserweight,1.88 m (6 ft 2 in),188 cm (74 in),Orthodox,20,18,12,2,,
1620,Arsen Goulamirian,1987-10-04,"Armenian SSR, USSR",Cruiserweight,6 ft 1 in (185 cm),73+1⁄2 in (187 cm),Orthodox,27,27,18,,,
1621,Ryad Merhy,1992-11-28,"Ouragahio, Ivory Coast",Cruiserweight,181 cm (5 ft 11 in),,Orthodox,34,32,26,2,,
1622,Georges Carpentier,,,Welterweight/Middleweight/Light Heavyweight/Heavyweight,5 ft 11+1⁄2 in (182 cm)[1],,,112,89,57,15,6,1
1623,Battling Siki,1897-09-16,"Saint-Louis, French Senegal",,,,,,,,,,
1624,Jimmy Slattery,,,Lightweight/Welterweight/Middleweight/Light heavyweight,,,,129,114,49,13,,2
1625,George Nichols,,,,,,,,,,,,
1626,Joe Knight,,,,,,,,,,,,
1627,Bob Godwin,1911-05-05,"Moultree, Georgia",Light Heavyweight,5 ft 11.5 in (1.82 m),6 ft 1.5 in (1.87 m),,136,95,31,24,15,2
1628,Anton Christoforidis,1917-05-26,"Mersin, Ottoman Empire",Light heavyweight,5 ft 8 in (1.73 m),72 in (183 cm),,76,53,13,15,8,
1629,Vicente Rondón,1938-07-29,"San José de Río Chico, Miranda, Venezuela",Light heavyweight,6 ft 3 in (1.91 m),,Orthodox,57,39,22,15,1,2
1630,Víctor Galíndez,1948-11-02,"Vedia, Buenos Aires",Light heavyweight,1.75 m (5 ft 9 in),,,70,55,34,9,4,2
1631,Mike Rossman,1955-07-01,"Turnersville, New Jersey, U.S.",Light heavyweight,5 ft 11 in (180 cm),73+1⁄2 in (187 cm),Orthodox,54,44,27,7,3,
1632,Eddie Mustafa Muhammad,1952-04-30,"Brooklyn, New York City,New York, U.S.",Light heavyweight/Cruiserweight,6 ft 0 in (183 cm),73 in (185 cm),Orthodox,59,50,39,8,1,
1633,Leslie Stewart,1961-03-26,"Laventille, Trinidad",Light heavyweight/Cruiserweight,6 ft 1+1⁄2 in (187 cm),74 in (188 cm),Orthodox,43,31,20,12,,
1634,Lou Del Valle,1968-07-13,"Long Island City, New York, U.S.",Light heavyweight/Cruiserweight,6 ft 0 in (183 cm),74 in (188 cm),Southpaw,44,36,22,6,2,
1635,Mehdi Sahnoune,1976-05-05,"Marseille, France",Light Heavyweight,5 ft 11+1⁄2 in (182 cm),,Orthodox,34,32,28,2,0,0
1636,Silvio Branco,1966-08-26,"Civitavecchia, Italy",Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 0+1⁄2 in (184 cm),,orthodox,77,63,37,11,3,0
1637,Stipe Drews,1973-06-08,"Makarska, SR Croatia, SFR Yugoslavia",Light heavyweight,6 ft 5 in (196 cm),,Southpaw,34,32,13,2,,
1638,Hugo Garay,1980-11-27,"Tigre, Buenos Aires, Argentina",Light heavyweight/Cruiserweight,6 ft 0 in (183 cm),77 in (196 cm),Orthodox,41,34,18,7,,
1639,Gabriel Campillo,1978-12-19,"Madrid, Spain",Super-middleweight/Light-heavyweight,,,Southpaw,34,25,12,8,1,
1640,Bruno Girard,1970-11-25,"Blois, Loir-et-Cher, France",Super middleweight/Light heavyweight,6 ft 1+1⁄2 in (187 cm),73 in (185 cm),Orthodox,48,42,7,4,2,
1641,Fulgencio Obelmejias,,,,,,,,,,,,
1642,Baek In-chul,1961-12-20,"Cheonan, South Korea",Light middleweight/Middleweight/Super middleweight,5 ft 9+1⁄2 in (177 cm),72 in (183 cm),Orthodox,50,47,43,3,,
1643,Christophe Tiozzo,1963-06-01,"Saint-Denis, Seine-Saint-Denis,France",Middleweight/Super middleweight,6 ft 0+1⁄2 in (184 cm),,Orthodox,35,33,23,2,,
1644,Víctor Córdoba,,,,,,,,,,,,
1645,Steve Little,,,,,,,,,,,,
1646,Frankie Liles,1965-02-14,"Syracuse, New York, U.S.",Super middleweight,6 ft 2+1⁄2 in (189 cm),77 in (196 cm),Southpaw,36,32,19,3,,1
1647,Byron Mitchell,1973-10-31,"Orlando, Florida, U.S.",Super middleweight/Light heavyweight/Cruiserweight,5 ft 11+1⁄2 in (182 cm),71,Orthodox,41,29,22,11,1,
1648,Manny Siaca,1975-11-21,"Toa Baja, Puerto Rico",Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 1 in (185 cm),78 in (198 cm),Orthodox,33,25,20,8,,
1649,Fedor Chudinov,1987-09-15,"Bratsk, Russian SFSR, Soviet Union (now Russia)",Super-middleweight,5 ft 9.5 in (177 cm),72 in (183 cm),Orthodox,30,26,17,3,1,
1650,Giovanni De Carolis,1984-08-21,"Rome, Lazio, Italy",Middleweight/Super-middleweight,1.84 m (6 ft 0 in),,Orthodox,44,33,16,10,1,
1651,Tyron Zeuge,1992-05-12,"Berlin, Germany",Super-middleweight,1.79 m (5 ft 10 in),,Orthodox,26,24,14,1,1,
1652,George Groves,,,,,,,,,,,,
1653,Dimitri Sartison,1980-02-04,"Rudny, Kazakh SSR,Soviet Union",Super-middleweight,1.77 m (5 ft 10 in),,Orthodox,33,31,19,2,,
1654,Rocky Fielding,1987-08-05,"Liverpool, England",Super-middleweight/Light-heavyweight,6 ft 1 in (185 cm),75 in (191 cm)[1],Orthodox,33,30,18,3,,
1655,David Morrell,1943-04-24,,,,,,,,,,,
1656,Johnny Wilson,,,,,,,,,,,,
1657,Gorilla Jones,1906-05-12,"Memphis, Tennessee",Middleweight,5 ft 9 in (1.75 m),75 in (191 cm),,172,109,66,28,17,3
1658,Vince Dundee,1907-10-22,"Palermo, Sicily, Italy[1][2]",Lightweight/Welterweight/Middleweight,5 ft 8 in (1.73 m),71 in (180 cm),,158,122,29,21,14,1
1659,Teddy Yarosz,1910-06-24,"Pittsburgh, Pennsylvania, U.S.",Middleweight/Light Heavyweight,5 ft 10 in (1.78 m),72+1⁄2 in (184 cm),Orthodox,128,106,17,18,3,1
1660,Eddie Babe Risko,1911-07-14,"Syracuse, New York",Middleweight/Light Heavyweight,5 ft 10 in (1.78 m),72+1⁄2 in (184 cm),Orthodox,103,65,12,26,12,
1661,Al Hostak,1916-01-07,"Minneapolis, Minnesota",Middleweight,6 ft 0 in (1.83 m),6 ft 1 in (1.85 m),Orthodox,84,64,41,9,11,
1662,Solly Krieger,1909-03-28,"Brooklyn, New York",Middleweight/Light heavyweight/Heavyweight,5 ft 8 in (1.73 m),68 in (173 cm),Orthodox,113,82,54,25,6,
1663,Randolph Turpin,1928-06-07,"Leamington Spa, Warwickshire, England",Middleweight/Light heavyweight,5 ft 9+1⁄2 in (1.77 m),74+1⁄2 in (189 cm),Orthodox,75,66,45,8,1,0
1664,Bobo Olson,1928-07-11,"Honolulu, Territory of Hawaii",Middleweight,5 ft 10+1⁄2 in (1.79 m),,,115,97,47,16,2,
1665,Jorge Castro,,,,,,,,,,,,
1666,Shinji Takehara,1972-01-25,"Fuchū, Hiroshima, Japan",Middleweight,186 cm (6 ft 1 in),,Orthodox,25,24,18,1,,
1667,William Joppy,1970-09-11,"Silver Spring, Maryland, U.S.",Middleweight/Super middleweight/Light heavyweight,5 ft 9 in (175 cm),72+1⁄2 in (184 cm),Orthodox,49,40,30,7,2,
1668,Julio César Green,1967-05-19,"Las Terrenas,Dominican Republic",Light middleweight/Middleweight/Super middleweight,5 ft 10 in (178 cm),74 in (188 cm),Orthodox,34,27,19,6,1,
1669,Ryōta Murata,1986-01-12,"Nara, Nara Prefecture, Japan[3]",Middleweight,6 ft (183 cm)[1],75 in (191 cm)[1],Orthodox,19,16,13,3,,
1670,Maselino Masoe,1966-06-06,,Middleweight,173 cm (5 ft 8 in),173 cm (68.1 in),Orthodox,,30,,6,0,
1671,Rob Brant,1990-10-02,"Saint Paul, Minnesota, U.S.",Light middleweight/Middleweight/Super middleweight,6 ft 0+1⁄2 in (184 cm),70+1⁄2 in (179 cm),Orthodox,29,26,18,3,,
1672,Alessandro Mazzinghi,1938-10-03,"Pontedera, Italy",,,,,69,64,42,3,0,2
1673,Kim Ki-soo,1939-09-17,"Hokusei, Chōsen(nowadays Pukchong, North Korea)",Light-middleweight/Middleweight,5 ft 7 in (170 cm),69+1⁄2 in (177 cm),Southpaw,37,33,17,2,2,
1674,Yuh Jae-doo,1948-04-25,"Seoul, South Korea",Light-middleweight/Middleweight,5 ft 9 in (175 cm),,,55,50,29,3,2,
1675,José Duran,,,,,,,,,,,,
1676,Miguel Ángel Castellini,1947-01-26,"Santa Rosa, La Pampa, Argentina",Light middleweight,5 ft 11+3⁄4 in (182 cm),,Orthodox,94,74,51,8,12,
1677,Tadashi Mihara,1955-03-30,"Takasaki, Gunma, Japan",Light middleweight,5 ft 10 in (1.78 m),,Orthodox,25,24,15,1,,
1678,Gilbert Delé,1964-01-01,"Lamentin, Guadeloupe",Light middleweight,5 ft 9+1⁄2 in (177 cm),,Orthodox,38,34,23,3,1,
1679,Julio César Vásquez,1966-07-13,"Santa Fe, Argentina",Light middleweight/Middleweight/Super middleweight,5 ft 8 in (173 cm),69 in (175 cm),Southpaw,82,68,43,13,1,
1680,Carl Daniels,1970-08-26,"St. Louis, Missouri, U.S.",Light middleweight/Middleweight/Super middleweight,5 ft 9 in (175 cm),70+1⁄2 in (179 cm),Southpaw,69,50,32,18,1,
1681,Laurent Boudouani,1966-12-29,"Sallanches, France",Light middleweight,5 ft 9+1⁄2 in (177 cm),74 in (188 cm),Orthodox,42,38,32,3,1,
1682,David Reid,,,,,,,,,,,,
1683,Travis Simms,1971-05-01,"Norwalk, Connecticut, U.S.",Light middleweight,5 ft 9+1⁄2 in (177 cm),69 in (175 cm),Southpaw,29,28,19,1,,
1684,Alejandro García,,,,,,,,,,,,
1685,Joachim Alcine,1976-03-26,"Gonaïves, Haiti",Light middleweight/Middleweight,5 ft 11 in (180 cm),73 in (185 cm),Orthodox,45,35,21,8,2,
1686,Yuri Foreman,1980-08-05,"Gomel, Byelorussian Soviet Socialist Republic, USSR",Light middleweight,5 ft 11 in (180 cm),72 in (183 cm),Orthodox,40,35,10,4,,1
1687,Santiago Samaniego,1974-01-25,"Panama City, Panama",Light Middleweight,1.80 m (5 ft 11 in),,,51,37,30,13,1,0
1688,Austin Trout,1985-09-18,"Las Cruces, New Mexico, U.S.",Light middleweight/Middleweight,5 ft 9+1⁄2 in (177 cm)[1],73 in (185 cm)[1],Southpaw,43,37,18,5,1,
1689,Jack Culcay,1985-09-26,"Ambato, Ecuador",Light-middleweight/Middleweight,170 cm (5 ft 7 in)[1],165 cm (65 in),Orthodox,37,33,14,4,,
1690,Ramón Álvarez,,,,,,,,,,,,
1691,Jack Britton,1885-10-14,"Clinton, New York, U.S.",Welterweight,5 ft 8 in (1.73 m),70 in (178 cm),Orthodox,345;[1] With the inclusion of newspaper decisions,237,30,60,43,5
1692,Johnny Bratton,1927-09-09,"Little Rock, Arkansas, U.S.",Welterweight,,,Orthodox,87,60,34,24,3,
1693,Ángel Espada,1948-02-02,"Salinas, Puerto Rico",Welterweight,5 ft 9 in (175 cm),,,59,44,27,11,4,
1694,José Cuevas,,,,,,,,,,,,
1695,Mark Breland,1963-05-11,"Brooklyn, New York, U.S.",,6 ft 2+1⁄2 in (189 cm)[1],77+1⁄2 in (197 cm)[1],Orthodox,38 as a professional,35,25,3,1,
1696,Tomás Molinares,1965-04-06,"Cartagena, Colombia",Welterweight,,,,26,23,20,2,0,1
1697,Aaron Davis,,,,,,,,,,,,
1698,Crisanto España,,,,,,,,,,,,
1699,Ike Quartey,1969-11-27,"Accra, Ghana",Light-welterweight/Welterweight/Light-middleweight,5 ft 8 in (173 cm)[1],71 in (180 cm)[1],Orthodox,42,37,31,4,1,
1700,James Page,,,,,,,,,,,,
1701,Andrew Lewis,,,,,,,,,,,,
1702,Luis Collazo,1981-04-22,"Brooklyn, New York City, New York, U.S.",Welterweight,5 ft 9 in (175 cm),72 in (183 cm),Southpaw,49,39,20,9,,1
1703,Vyacheslav Senchenko,1977-04-12,"Kremenchuk, Ukrainian SSR,Soviet Union(now Ukraine)",Welterweight,1.78 m (5 ft 10 in),178 cm (70 in),Orthodox,39,37,25,2,,
1704,Marcos Maidana,1983-07-17,"Margarita, Santa Fe, Argentina",Light welterweight/Welterweight/Light middleweight,5 ft 7 in (170 cm)[1],69 in (175 cm)[1],Orthodox,40,35,31,5,,
1705,Yordenis Ugás,1986-07-14,"Santiago de Cuba, Cuba",Light welterweight/Welterweight,5 ft 9+1⁄2 in (177 cm)[1],73+1⁄2 in (187 cm)[1],Orthodox,33,27,12,6,,
1706,Yuriy Nuzhnenko,1976-06-02,"Kyiv, Soviet Union",Welterweight,5 ft 9 in (175 cm),,Orthodox,35,31,14,3,1,0
1707,David Avanesyan,1988-08-15,"Pyatigorsk, Stavropol Krai, Soviet Union (now Russia)",Welterweight,1.73 m (5 ft 8 in),174 cm (69 in),Orthodox,35,30,18,4,1,
1708,Lucas Matthysse,1982-09-27,"Trelew, Chubut, Argentina",Light welterweight/Welterweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Orthodox,45,39,36,5,,1
1709,Jamal James,1988-07-27,"Minneapolis, Minnesota, U.S.",Welterweight,6 ft 2 in (188 cm),70 in (178 cm),Orthodox,30,28,12,2,,
1710,Radzhab Butaev,1993-12-15,"Khasavyurt, Dagestan, Russia",Welterweight/Light-middleweight,1.79 m (5 ft 10 in),183 cm (72 in),Orthodox,17,15,12,1,,1
1711,Eimantas Stanionis,1994-08-17,"Kaunas, Lithuania",Welterweight/Light-middleweight,5 ft 8 in (173 cm),68 in (173 cm),Orthodox,15,14,9,,,1
1712,Pinky Mitchell,1899-01-01,"Milwaukee, Wisconsin",light welterweight,,,,83,44,10,23,6,
1713,Jack Kid Berg,1909-06-28,"Whitechapel, London",Lightweight/Welterweight,5 ft 9 in (1.75 m),,,192,157,61,26,9,
1714,Johnny Jadick,1908-06-16,"Philadelphia, Pennsylvania",Welterweight,5 ft 8.5 in (1.74 m),,Orthodox,164,99,15,57,8,
1715,Roberto Cruz,,,,,,,,,,,,
1716,Johnny Bumphus,1960-08-17,"Tacoma, Washington, U.S.",Light welterweight/Welterweight,6 ft 0 in (183 cm),74 in (188 cm),Southpaw,31,29,20,2,,
1717,Gene Hatcher,1959-06-28,"Fort Worth, Texas, U.S.",Light welterweight/Welterweight,5 ft 8 in (173 cm),70 in (178 cm),Orthodox,39,32,23,7,,
1718,Ubaldo Néstor Sacco,1955-07-28,"Buenos Aires, Argentina",Light welterweight,5 ft 7+1⁄2 in (171 cm),68 in (173 cm),Orthodox,52,47,23,4,1,
1719,Patrizio Oliva,1959-01-28,"Naples, Italy[1]",Welterweight,1.77 m (5 ft 10 in),,Orthodox,59,57,20,2,0,0
1720,Juan Martin Coggi,1961-12-19,"Fighiera, Rosario, Santa Fe, Argentina",Light welterweight,5 ft 7 in (170 cm),73 in (185 cm),Southpaw,82,75,44,5,2,
1721,Loreto Garza,1962-05-23,"Sacramento, California, U.S.",Light welterweight,5 ft 10 in (178 cm),72 in (183 cm),Orthodox,34,31,26,2,1,
1722,Akinobu Hiranaka,1963-11-14,"Yaese, Okinawa, Japan",Light welterweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,22,20,18,2,,
1723,Morris East,1973-08-08,"Olongapo, Philippines",Light welterweight,5 ft 6 in (168 cm),,Southpaw,25,20,12,4,,1
1724,Khalid Rahilou,1966-06-19,"Argenteuil, France",Light-welterweight,1.73 m (5 ft 8 in),180 cm (71 in),Orthodox,42,37,16,5,,
1725,Sharmba Mitchell,1970-08-27,"Takoma Park, Maryland, U.S.",Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),72 in (183 cm),Southpaw,63,57,30,6,,
1726,Vivian Harris,1978-06-17,"Georgetown, Guyana",Light welterweight/Welterweight/Light middleweight,,,Orthodox,48,33,19,12,2,1
1727,Carlos Maussa,1971-09-24,"Montería, Colombia",Light welterweight,5 ft 10+1⁄2 in (179 cm),73 in (185 cm),Orthodox,25,20,18,5,,
1728,Souleymane M'baye,1975-03-21,"Clichy-la-Garenne, France]",Super lightweight,,,Orthodox,49,42,23,6,1,
1729,Gavin Rees,1980-05-10,"Newport, Wales",Featherweight/Lightweight/Light welterweight,5 ft 4 in (163 cm),64 in (163 cm),Orthodox,43,38,19,4,1,
1730,Andreas Kotelnik,1977-12-29,"Lviv, Ukrainian SSR, Soviet Union",Light-welterweight,1.71 m (5 ft 7 in)[1],178 cm (70 in)[1],Orthodox,37,32,13,4,1,
1731,Kiryl Relikh,1989-11-26,"Baranavichy, Byelorussian SSR, Soviet Union(now Belarus)",Light welterweight,5 ft 9+1⁄2 in (177 cm),67+1⁄2 in (171 cm),Orthodox,27,24,20,3,,
1732,Alberto Puello,1994-07-22,"San Juan, Dominican Republic",Light welterweight,5 ft 9 in (175 cm),71 in (180 cm),Southpaw,21,21,10,,,
1733,Rolly Romero,,,Lightweight/Light welterweight,5 ft 7 in (170 cm)[1],66 in (168 cm)[1],Orthodox,16,15,13,1,,
1734,Diosbelys Hurtado,1973-09-04,"Santiago, Cuba",Light welterweight/Welterweight,5′ 11½″   /   182cm,73″   /   185cm,Orthodox,47,43,26,3,1,
1735,Mario Barrios,1995-05-18,"San Antonio, Texas, U.S.",Light welterweight/Welterweight,5 ft 10 in (178 cm),71 in (180 cm),Orthodox,30,28,18,2,,
1736,Juan Zurita,1917-05-12,"Veracruz, Mexico",Lightweight,1.68 m (5 ft 6 in),1.68 m (66 in),,155,131,43,23,1,
1737,Wallace Bud Smith,1924-04-02,"Cincinnati, Ohio",Lightweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,61,31,18,24,6,0
1738,Ernesto España,1954-11-07,"La Flor, Venezuela",Lightweight,,,Orthodox,44,36,29,8,0,0
1739,Hilmer Kenty,,,,,,,,,,,,
1740,Sean O'Grady,,,,,,,,,,,,
1741,Claude Noel,1955-10-31,,,,,,,,,,,
1742,Arturo Frias,1955-10-27,"Montebello, California, U.S.",Lightweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,33,28,8,5,,
